symbol,price_change_pct,volume_change_pct,volatility_score,rsi,moving_average_gap,target_up
SBIN,-0.37,0.35,1.71,66.11,-2.69,0
LT,1.24,10.04,2.96,29.42,0.17,1
ITC,0.75,-14.14,0.57,36.59,1.74,1
AXISBANK,-3.21,10.37,1.28,55.85,1.74,1
BHARTIARTL,-2.88,18.83,0.77,76.19,2.02,1
RELIANCE,-1.53,24.56,1.98,35.99,2.23,1
TCS,0.78,-14.79,2.61,31.07,1.31,1
INFY,-0.4,23.5,1.7,65.44,2.88,1
HDFCBANK,-0.45,14.7,1.52,26.75,-3.17,0
ICICIBANK,-1.99,21.49,1.42,38.75,-0.97,0
SBIN,1.61,-0.59,2.86,58.66,-1.44,1
LT,4.04,-7.28,1.54,51.46,1.5,1
ITC,-0.74,-6.09,1.9,62.13,1.07,1
AXISBANK,-0.66,7.15,1.16,48.96,0.94,0
BHARTIARTL,3.82,11.4,1.86,39.21,0.17,1
RELIANCE,-1.97,1.72,2.16,32.93,0.55,0
TCS,4.31,-10.5,1.15,69.69,-1.65,1
INFY,-1.86,17.58,1.56,47.73,2.45,1
HDFCBANK,-1.69,-2.27,2.13,74.45,1.22,1
ICICIBANK,3.0,0.57,2.97,67.96,-2.97,1
SBIN,-2.74,-2.43,1.09,58.54,-0.69,0
LT,-1.3,19.72,1.9,36.13,-1.27,0
ITC,1.0,3.88,0.72,50.67,0.92,1
AXISBANK,4.0,-11.17,1.11,77.98,2.84,1
BHARTIARTL,-0.88,-6.31,1.24,56.46,-1.37,0
RELIANCE,0.12,-18.24,2.89,55.9,2.44,1
TCS,1.27,8.07,3.17,55.69,-2.81,1
INFY,-1.45,-0.69,2.81,39.37,-1.87,0
HDFCBANK,-3.13,21.42,2.9,33.89,-1.33,0
ICICIBANK,2.58,11.93,0.76,72.94,-0.35,0
SBIN,4.06,3.82,1.27,75.56,-0.65,0
LT,-1.76,-10.09,2.2,36.05,1.21,1
ITC,4.16,16.56,1.12,75.23,-1.95,0
AXISBANK,-1.64,-7.13,0.75,51.22,-1.63,0
BHARTIARTL,-1.26,4.63,3.17,58.75,1.32,1
RELIANCE,-1.94,4.81,0.75,57.11,-1.09,0
TCS,0.8,23.57,2.87,35.1,-1.43,1
INFY,-4.33,3.03,2.03,51.61,3.08,1
HDFCBANK,2.57,-17.31,2.33,34.7,1.22,1
ICICIBANK,-0.01,22.71,0.8,43.44,-1.11,0
SBIN,2.86,-6.32,2.55,77.59,-3.06,0
LT,3.28,-0.7,2.61,50.99,-2.65,1
ITC,4.39,20.13,1.43,62.03,0.5,1
AXISBANK,-1.63,-5.99,2.0,28.83,2.65,1
BHARTIARTL,-2.81,9.35,1.31,49.47,-3.1,0
RELIANCE,0.73,15.66,3.49,39.65,3.17,1
TCS,2.12,24.33,2.91,59.48,-0.49,1
INFY,-2.7,19.39,2.57,76.09,-0.12,0
HDFCBANK,-3.36,13.0,1.68,73.71,0.2,0
ICICIBANK,3.29,-18.59,1.28,32.14,1.0,1
SBIN,-1.28,-9.59,1.42,70.13,2.83,1
LT,-2.95,1.77,3.07,25.12,-2.07,0
ITC,-0.44,16.79,2.27,28.9,-1.87,0
AXISBANK,-4.4,12.59,2.0,72.9,-0.76,0
BHARTIARTL,-0.03,-13.62,2.56,65.02,-2.75,0
RELIANCE,-2.1,-17.66,1.49,61.62,2.27,1
TCS,-0.47,-11.8,0.55,45.75,-2.16,0
INFY,1.5,24.69,2.01,70.91,-0.58,0
HDFCBANK,-3.06,-2.43,2.74,40.48,-2.27,0
ICICIBANK,-3.8,22.47,1.66,60.24,-2.48,0
SBIN,2.6,15.02,1.57,33.79,0.1,1
LT,4.44,19.79,0.75,62.85,-2.74,1
ITC,-0.07,0.05,0.54,64.52,2.73,1
AXISBANK,-1.16,-19.52,2.87,73.72,-2.03,0
BHARTIARTL,3.12,0.38,3.32,41.66,-0.82,1
RELIANCE,-3.65,8.35,1.58,34.97,2.91,1
TCS,-1.37,18.41,1.73,47.13,-2.0,0
INFY,-3.45,3.58,1.21,35.52,-1.98,0
HDFCBANK,1.15,-14.11,3.03,69.39,-1.5,1
ICICIBANK,3.01,10.37,1.65,31.21,-2.01,1
SBIN,-1.26,-2.51,3.15,50.11,-0.94,0
LT,3.98,14.8,0.71,48.12,-1.79,1
ITC,-2.8,14.89,1.87,43.77,0.01,0
AXISBANK,4.02,-3.27,1.66,60.25,2.33,1
BHARTIARTL,-3.2,-7.89,3.33,66.26,2.95,1
RELIANCE,-1.31,7.77,2.39,64.1,2.73,1
TCS,-1.19,-7.93,2.86,35.41,0.94,0
INFY,-0.81,-8.76,3.16,28.93,0.69,0
HDFCBANK,-1.13,-16.11,1.84,27.71,-2.75,0
ICICIBANK,1.72,-5.72,2.98,42.3,0.87,1
SBIN,-4.34,1.91,2.18,37.67,0.67,0
LT,2.26,1.96,1.69,60.45,2.42,1
ITC,3.48,7.44,0.79,45.18,2.73,1
AXISBANK,-0.97,10.4,3.06,39.56,-2.73,0
BHARTIARTL,3.91,-3.13,1.45,77.27,-2.8,0
RELIANCE,3.04,-12.6,3.49,34.08,1.56,1
TCS,0.41,-9.91,1.18,49.26,1.2,1
INFY,-0.78,-14.96,1.86,34.41,2.26,1
HDFCBANK,1.4,20.32,0.51,40.59,0.37,1
ICICIBANK,1.22,-13.08,3.43,39.21,1.68,1
SBIN,2.25,18.63,2.77,59.31,0.38,1
LT,1.43,24.72,2.05,65.26,-2.23,1
ITC,-3.31,-4.52,0.8,54.13,2.41,1
AXISBANK,-3.28,1.3,2.12,27.66,2.99,1
BHARTIARTL,2.65,-19.25,3.32,63.95,-0.55,1
RELIANCE,1.32,17.1,2.7,34.52,-0.48,1
TCS,-4.04,-4.69,3.05,50.78,-2.24,0
INFY,-3.13,-5.83,0.63,66.83,1.06,1
HDFCBANK,0.63,21.02,3.4,56.24,-2.03,1
ICICIBANK,4.49,3.31,3.28,34.4,-0.55,1
SBIN,0.47,-8.18,1.04,67.64,2.83,1
LT,-0.91,7.6,2.66,72.43,2.35,1
ITC,-3.72,9.03,0.81,27.71,1.44,1
AXISBANK,2.69,-12.98,1.51,29.57,0.79,1
BHARTIARTL,-2.35,-1.64,0.63,67.94,-0.12,0
RELIANCE,-1.1,8.25,2.52,33.41,1.33,1
TCS,-4.22,4.84,1.04,76.32,-0.77,0
INFY,2.69,16.14,3.2,52.28,0.92,1
HDFCBANK,2.8,-11.62,1.75,34.86,-1.76,1
ICICIBANK,-1.72,22.03,2.87,37.6,-2.17,0
SBIN,2.11,-13.26,1.84,63.7,0.62,1
LT,-1.65,4.15,2.06,39.7,3.14,1
ITC,-0.01,-9.24,2.32,69.78,0.88,0
AXISBANK,3.57,21.06,2.06,68.45,-1.31,1
BHARTIARTL,3.71,1.43,3.41,48.38,-0.26,1
RELIANCE,4.36,-2.97,2.62,41.63,-1.98,1
TCS,-2.92,-1.26,1.54,36.25,-0.96,0
INFY,2.43,12.49,1.94,51.41,1.35,1
HDFCBANK,-4.47,-7.78,1.86,75.01,-0.81,0
ICICIBANK,3.18,10.62,2.48,55.73,-1.59,1
SBIN,-0.12,3.8,2.75,31.0,0.2,0
LT,4.38,9.85,0.55,26.56,0.8,1
ITC,0.24,24.78,3.14,25.94,-1.55,1
AXISBANK,0.5,20.8,0.85,69.96,1.71,1
BHARTIARTL,1.95,12.59,1.28,25.86,1.54,1
RELIANCE,0.16,17.9,2.42,35.67,-0.87,1
TCS,0.69,6.38,0.52,61.03,2.92,1
INFY,-2.2,8.3,2.06,42.77,-1.18,0
HDFCBANK,-0.58,23.16,2.48,66.69,-2.56,0
ICICIBANK,0.97,21.04,0.58,27.09,-2.48,1
SBIN,3.51,-2.33,2.85,55.59,-2.27,1
LT,2.0,-17.11,1.4,69.08,1.13,1
ITC,-1.24,-4.57,1.16,55.9,-2.19,0
AXISBANK,-4.06,17.14,0.72,58.03,-2.91,0
BHARTIARTL,-1.71,10.07,2.8,77.82,-1.85,0
RELIANCE,2.0,4.55,1.81,50.03,1.63,1
TCS,-0.91,-2.01,2.92,66.59,2.81,1
INFY,-2.43,12.3,2.58,31.25,-2.74,0
HDFCBANK,-4.49,-9.12,1.1,43.14,0.56,0
ICICIBANK,1.08,-1.25,2.64,49.6,0.97,1
SBIN,-3.53,24.73,2.26,40.76,0.43,0
LT,-0.62,-18.4,3.47,75.43,-0.44,0
ITC,0.32,-15.34,2.07,64.18,2.86,1
AXISBANK,2.53,13.88,2.39,28.06,-0.9,1
BHARTIARTL,-2.99,-16.65,3.19,57.61,-2.6,0
RELIANCE,1.76,-15.43,1.12,30.04,0.36,1
TCS,3.0,9.87,2.31,27.24,1.15,1
INFY,3.17,20.87,3.44,47.41,-1.39,1
HDFCBANK,1.57,8.45,1.73,43.52,2.93,1
ICICIBANK,-0.09,7.28,2.85,60.07,-1.57,0
SBIN,0.27,-2.04,2.43,25.83,0.31,1
LT,-0.33,23.76,2.53,39.89,0.68,0
ITC,-3.74,4.19,0.68,69.98,-1.82,0
AXISBANK,-4.46,19.42,2.5,43.3,-3.11,0
BHARTIARTL,-0.55,-1.1,1.51,68.98,-2.51,0
RELIANCE,4.22,21.55,2.31,41.42,3.02,1
TCS,4.4,-4.85,1.98,57.11,1.35,1
INFY,1.61,8.26,2.17,74.03,-1.75,0
HDFCBANK,-3.97,-1.65,1.95,36.69,0.93,0
ICICIBANK,-0.6,-16.37,1.15,47.91,1.65,1
SBIN,1.49,9.87,1.52,25.34,0.75,1
LT,3.02,2.69,1.97,76.37,-1.0,0
ITC,0.31,2.22,2.59,37.95,2.15,1
AXISBANK,0.55,-10.23,1.05,32.29,0.15,1
BHARTIARTL,-2.2,-1.42,2.53,75.3,-2.58,0
RELIANCE,-1.92,-4.48,1.17,66.56,2.2,1
TCS,-1.81,1.02,2.83,45.77,0.01,0
INFY,-0.3,16.86,3.05,59.48,1.14,1
HDFCBANK,-3.13,-9.24,1.1,76.95,2.22,1
ICICIBANK,-4.2,24.97,3.13,25.15,0.33,0
SBIN,3.73,-17.4,2.6,48.55,3.11,1
LT,4.46,14.94,2.41,72.0,-3.08,0
ITC,3.19,2.83,2.22,32.0,-2.58,1
AXISBANK,-4.05,-18.56,0.68,65.82,0.3,0
BHARTIARTL,-3.66,-3.36,2.19,48.45,-1.24,0
RELIANCE,3.98,23.87,1.24,58.25,-2.19,1
TCS,-2.57,9.16,2.93,25.76,2.14,1
INFY,3.81,22.72,2.24,72.78,0.32,0
HDFCBANK,1.17,-8.31,1.88,52.76,-0.5,1
ICICIBANK,-1.52,20.32,0.98,55.2,-2.1,0
SBIN,2.23,24.94,1.75,46.08,-1.32,1
LT,4.02,-2.77,2.06,45.06,-2.28,1
ITC,-1.11,-6.06,3.2,68.97,-3.0,0
AXISBANK,0.56,2.72,1.47,25.04,2.09,1
BHARTIARTL,1.72,13.14,1.19,76.9,2.57,1
RELIANCE,-0.81,5.65,1.24,48.95,2.13,1
TCS,4.04,18.98,1.46,35.49,0.13,1
INFY,4.43,-1.72,2.81,46.62,-0.41,1
HDFCBANK,-1.23,-3.79,3.03,33.6,-1.1,0
ICICIBANK,3.21,6.76,2.2,71.6,-3.15,0
SBIN,-4.3,-5.38,0.56,48.33,-2.41,0
LT,1.5,12.41,2.21,65.25,1.79,1
ITC,-0.04,22.75,2.54,39.04,0.99,0
AXISBANK,1.31,13.25,0.67,71.25,1.18,1
BHARTIARTL,-2.4,9.43,2.01,65.91,-0.88,0
RELIANCE,-1.6,-10.39,3.24,50.72,-2.49,0
TCS,0.7,-8.59,2.14,77.85,1.19,1
INFY,1.14,8.3,2.11,30.37,-0.61,1
HDFCBANK,4.33,5.9,0.51,76.44,-1.04,0
ICICIBANK,3.98,15.51,0.85,48.62,-1.61,1
SBIN,-0.94,21.45,2.35,70.35,-1.82,0
LT,-1.37,-14.52,1.23,64.19,-1.74,0
ITC,-0.76,2.08,1.38,39.08,1.61,1
AXISBANK,-4.17,-10.34,1.11,40.9,2.29,1
BHARTIARTL,0.93,4.71,2.73,38.41,-0.83,1
RELIANCE,2.74,20.06,1.13,42.46,-3.11,1
TCS,-3.37,10.15,3.31,60.73,2.61,1
INFY,-2.49,-3.92,2.93,61.99,-3.07,0
HDFCBANK,3.59,9.58,1.03,57.61,-2.71,1
ICICIBANK,1.67,-18.7,0.67,45.46,-1.84,1
SBIN,0.86,-16.36,1.68,46.36,-0.59,1
LT,-0.79,17.36,2.18,68.04,-0.8,0
ITC,0.7,17.7,1.82,31.1,-1.69,1
AXISBANK,-1.99,-2.71,0.94,34.73,3.19,1
BHARTIARTL,1.62,-0.91,2.14,47.79,-2.01,1
RELIANCE,2.08,-15.13,3.08,27.91,-1.97,1
TCS,-4.45,24.08,2.03,27.51,-1.15,0
INFY,2.54,16.68,2.56,64.85,-1.91,1
HDFCBANK,-3.81,24.9,1.11,36.15,-0.95,0
ICICIBANK,1.34,-4.61,2.87,70.82,2.92,1
SBIN,-1.58,7.57,2.74,26.61,0.21,0
LT,4.32,7.14,3.24,59.26,-2.8,1
ITC,-3.81,-0.17,2.28,63.71,0.99,0
AXISBANK,-4.46,21.06,1.31,45.35,2.97,1
BHARTIARTL,-4.35,-4.96,1.74,66.01,-1.61,0
RELIANCE,-3.89,17.89,0.5,73.07,1.1,1
TCS,3.41,24.46,2.21,52.57,-0.4,1
INFY,-0.42,16.29,2.45,54.34,-0.3,0
HDFCBANK,3.13,15.1,1.84,28.18,-1.27,1
ICICIBANK,0.35,-15.97,3.03,39.87,2.16,1
SBIN,3.55,12.07,0.51,41.32,-1.14,1
LT,-2.84,-9.06,1.9,70.6,2.67,1
ITC,-2.0,1.89,3.46,58.84,1.01,1
AXISBANK,0.72,-5.92,0.54,61.39,-1.32,1
BHARTIARTL,2.69,-19.23,2.28,31.5,-1.21,1
RELIANCE,3.95,13.06,1.88,25.31,2.2,1
TCS,1.08,-10.33,2.31,64.42,-1.96,1
INFY,0.67,9.76,2.41,55.39,-1.41,1
HDFCBANK,-3.67,5.44,1.22,77.76,-2.81,0
ICICIBANK,-1.63,5.38,3.0,44.05,-2.95,0
SBIN,2.31,14.57,2.86,75.56,0.08,0
LT,0.68,7.75,2.27,34.18,0.01,1
ITC,-3.79,-11.56,2.95,26.3,1.72,1
AXISBANK,2.67,7.48,2.99,57.64,1.73,1
BHARTIARTL,-1.45,-15.93,0.96,72.13,0.31,0
RELIANCE,-2.63,-2.18,0.62,38.79,-2.89,0
TCS,4.15,14.99,2.43,65.83,2.41,1
INFY,3.55,19.07,1.87,63.81,-0.19,1
HDFCBANK,-2.78,18.47,0.67,28.06,-1.62,0
ICICIBANK,1.49,-1.79,3.02,37.75,-2.29,1
SBIN,-1.87,-12.47,1.44,67.9,2.61,1
LT,4.19,7.33,1.68,62.16,-2.41,1
ITC,0.19,-16.84,3.43,26.92,2.38,1
AXISBANK,2.91,22.41,2.23,36.13,-2.34,1
BHARTIARTL,4.41,-8.28,0.81,26.21,-0.26,1
RELIANCE,3.66,-19.79,1.23,52.07,0.82,1
TCS,-4.23,-1.06,2.76,55.75,2.24,1
INFY,0.2,19.72,2.13,33.47,-1.6,1
HDFCBANK,-4.17,0.93,1.08,65.55,-1.67,0
ICICIBANK,1.82,-4.33,2.54,47.14,-2.51,1
SBIN,1.38,4.85,3.38,31.25,-2.2,1
LT,1.77,-13.07,2.66,36.01,2.6,1
ITC,-1.33,-17.93,2.72,45.12,-1.49,0
AXISBANK,-4.27,-6.64,1.43,69.76,1.63,1
BHARTIARTL,-3.7,5.32,3.07,46.47,1.74,1
RELIANCE,3.64,24.99,3.47,72.43,3.19,1
TCS,3.68,-9.89,3.08,68.86,1.8,1
INFY,-1.56,4.2,2.33,75.37,0.48,0
HDFCBANK,-0.5,-0.11,0.76,63.36,0.95,0
ICICIBANK,2.09,0.61,3.27,56.71,3.04,1
SBIN,1.96,13.61,2.57,28.96,0.52,1
LT,-0.47,-3.24,2.04,47.08,2.65,1
ITC,-1.06,-18.87,3.36,42.77,-1.66,0
AXISBANK,-1.39,14.38,1.29,55.1,-2.41,0
BHARTIARTL,1.09,13.37,1.24,49.31,-2.81,1
RELIANCE,-2.16,24.93,1.74,39.35,-1.6,0
TCS,3.93,-7.79,2.27,31.27,-0.21,1
INFY,1.36,-12.13,3.47,41.51,2.69,1
HDFCBANK,-0.85,7.19,2.47,60.56,0.88,0
ICICIBANK,-2.32,-17.69,1.43,75.71,3.01,1
SBIN,-2.34,19.94,3.01,28.63,2.28,1
LT,-2.49,16.17,3.0,73.43,-1.12,0
ITC,-3.28,17.21,0.58,44.24,-2.34,0
AXISBANK,3.91,-16.83,3.08,60.78,3.03,1
BHARTIARTL,3.59,21.0,2.59,53.89,2.15,1
RELIANCE,-1.14,-10.97,3.17,49.64,1.49,1
TCS,-2.72,-13.5,2.93,28.95,-0.23,0
INFY,4.04,17.4,1.14,49.51,-1.03,1
HDFCBANK,3.01,-5.27,2.95,60.66,1.29,1
ICICIBANK,1.25,3.14,1.83,73.96,2.91,1
SBIN,4.31,18.77,2.64,36.14,-0.84,1
LT,-0.4,20.09,2.91,46.75,-2.11,0
ITC,2.16,-1.21,0.74,54.91,0.64,1
AXISBANK,3.32,-12.21,0.54,59.93,1.08,1
BHARTIARTL,2.68,7.82,2.57,33.99,0.77,1
RELIANCE,-1.63,7.28,2.69,49.88,-0.62,0
TCS,0.89,-1.23,0.88,30.84,-2.09,1
INFY,-2.15,18.88,1.84,71.98,0.84,0
HDFCBANK,4.41,-8.81,3.17,29.52,0.38,1
ICICIBANK,2.63,-16.49,3.03,43.46,2.0,1
SBIN,1.04,20.16,1.24,69.76,2.5,1
LT,-0.99,8.27,0.77,59.36,1.73,1
ITC,3.32,9.41,2.01,34.21,-2.08,1
AXISBANK,-0.15,18.71,2.09,26.93,1.61,1
BHARTIARTL,0.39,23.99,2.92,41.85,0.28,1
RELIANCE,-2.65,23.88,1.33,30.63,-0.62,0
TCS,2.01,24.37,3.33,51.72,1.72,1
INFY,1.92,-13.08,3.36,45.0,1.6,1
HDFCBANK,-2.12,-10.57,3.47,47.6,-0.52,0
ICICIBANK,3.2,16.13,2.47,42.8,2.64,1
SBIN,2.16,-6.23,3.31,70.76,-1.16,0
LT,2.8,8.46,0.53,58.18,0.05,1
ITC,-2.29,-4.83,3.36,30.57,2.44,1
AXISBANK,-2.34,8.83,0.58,39.09,-0.12,0
BHARTIARTL,-4.16,24.66,1.74,70.14,0.86,0
RELIANCE,-1.35,20.22,3.13,72.95,1.52,1
TCS,-2.13,14.45,0.68,68.02,2.7,1
INFY,-0.81,-2.97,3.06,54.59,-3.1,0
HDFCBANK,-3.8,4.93,1.01,26.18,-1.74,0
ICICIBANK,3.59,2.11,2.04,25.58,-0.43,1
SBIN,-3.39,23.11,3.37,70.13,2.17,1
LT,4.21,-1.67,0.67,66.74,0.08,1
ITC,-1.68,6.43,2.6,54.75,2.59,1
AXISBANK,0.04,-19.42,2.21,51.9,1.92,1
BHARTIARTL,3.45,-13.56,1.34,31.13,-0.82,1
RELIANCE,-0.39,-5.78,0.84,63.47,0.64,0
TCS,-1.39,9.17,2.0,45.61,0.45,0
INFY,2.8,-12.28,2.6,34.57,1.24,1
HDFCBANK,-0.15,0.65,1.33,62.53,0.82,0
ICICIBANK,-4.19,-15.18,1.54,55.33,-2.6,0
SBIN,3.79,24.74,0.63,72.69,-3.01,0
LT,-1.09,-18.42,2.64,44.19,0.82,0
ITC,-2.06,15.12,3.19,40.87,-1.67,0
AXISBANK,2.74,4.99,0.91,30.51,-2.0,1
BHARTIARTL,1.27,3.41,1.47,28.62,1.32,1
RELIANCE,4.16,22.64,0.73,56.45,3.12,1
TCS,4.44,19.39,1.8,58.4,2.87,1
INFY,1.84,19.45,2.94,38.95,1.9,1
HDFCBANK,-2.09,6.49,0.73,35.77,-0.13,0
ICICIBANK,1.9,-16.84,3.25,63.47,-2.34,1
SBIN,1.41,17.7,0.67,50.22,1.46,1
LT,4.46,-14.05,1.68,69.02,1.54,1
ITC,-4.47,4.14,1.26,41.4,-0.5,0
AXISBANK,-1.19,-8.88,0.86,41.55,1.25,1
BHARTIARTL,-2.71,-18.91,0.88,50.89,-2.32,0
RELIANCE,0.16,1.79,0.65,54.45,1.11,1
TCS,-4.35,-11.97,1.21,33.45,0.54,0
INFY,-4.33,7.98,2.0,43.43,3.19,1
HDFCBANK,-3.9,4.39,1.71,66.21,0.23,0
ICICIBANK,-0.57,-14.39,2.75,30.52,-2.45,0
SBIN,-4.3,6.94,0.93,60.21,0.31,0
LT,-2.5,10.4,1.18,60.74,-2.11,0
ITC,1.59,2.49,3.12,52.0,-0.8,1
AXISBANK,3.7,13.78,1.07,77.87,0.31,0
BHARTIARTL,1.38,3.86,1.43,68.07,2.78,1
RELIANCE,2.8,17.79,1.42,72.17,-2.52,0
TCS,-1.43,-2.38,3.48,47.18,-1.91,0
INFY,-4.05,10.3,2.53,64.74,-2.96,0
HDFCBANK,-1.43,7.35,3.17,73.77,2.72,1
ICICIBANK,-2.04,-12.94,1.68,36.6,0.21,0
SBIN,0.8,-11.68,3.34,67.33,-2.78,1
LT,2.66,-7.82,0.54,42.17,-2.13,1
ITC,1.3,-15.33,1.15,63.86,-1.13,1
AXISBANK,3.86,-6.21,1.38,68.07,3.13,1
BHARTIARTL,-0.76,5.43,1.84,26.21,2.54,1
RELIANCE,2.06,-16.83,3.18,75.55,1.84,1
TCS,3.11,-10.1,0.8,64.11,-2.05,1
INFY,3.16,-17.44,1.16,54.04,2.85,1
HDFCBANK,3.06,-17.55,2.26,26.38,1.74,1
ICICIBANK,-3.57,-16.4,3.32,52.97,2.08,1
SBIN,-2.27,18.16,1.54,47.28,2.59,1
LT,4.32,-0.59,2.66,76.88,2.36,1
ITC,3.84,-8.96,3.49,56.43,-2.1,1
AXISBANK,-1.79,-1.26,0.96,75.94,-3.01,0
BHARTIARTL,3.97,-1.94,1.29,26.74,-0.29,1
RELIANCE,3.67,11.48,2.79,71.29,-2.89,0
TCS,-4.27,22.96,1.51,41.25,2.19,1
INFY,1.7,13.63,2.14,35.77,2.21,1
HDFCBANK,3.9,-8.8,1.53,36.71,1.68,1
ICICIBANK,-0.96,11.28,2.45,61.53,1.88,1
SBIN,-0.65,21.3,2.04,52.79,0.5,0
LT,0.92,24.3,1.25,50.7,-2.9,1
ITC,-2.38,21.13,1.56,34.87,2.93,1
AXISBANK,-1.65,-10.54,3.0,34.99,1.78,1
BHARTIARTL,-1.83,22.28,2.48,58.8,-0.45,0
RELIANCE,4.4,15.12,0.89,43.07,0.7,1
TCS,-0.44,-9.28,0.9,66.35,1.79,1
INFY,2.35,24.75,3.44,30.25,1.68,1
HDFCBANK,-3.86,13.15,0.63,35.66,-2.78,0
ICICIBANK,-0.04,24.97,1.44,38.35,0.98,0
SBIN,2.6,24.9,1.06,69.5,1.43,1
LT,-3.38,21.73,2.55,54.48,1.93,1
ITC,-1.75,13.27,1.32,60.1,0.36,0
AXISBANK,-4.23,5.64,2.56,29.89,-1.7,0
BHARTIARTL,2.51,-4.31,2.05,68.28,-2.83,1
RELIANCE,-3.4,-17.11,0.76,33.4,-0.23,0
TCS,-1.59,17.5,2.37,34.77,2.15,1
INFY,0.2,-15.13,0.66,70.59,0.67,0
HDFCBANK,1.94,-13.91,2.25,64.81,0.99,1
ICICIBANK,2.59,2.42,1.18,36.57,-0.65,1
SBIN,-2.9,-18.18,1.08,53.09,-2.83,0
LT,3.62,-6.39,2.51,74.6,0.12,0
ITC,-3.62,-0.43,3.45,49.11,-2.39,0
AXISBANK,0.56,14.43,0.86,63.72,-2.68,1
BHARTIARTL,1.33,17.14,1.33,64.4,-3.13,1
RELIANCE,-1.29,13.02,2.34,57.26,-1.9,0
TCS,3.85,23.72,1.67,68.63,0.78,1
INFY,2.98,-6.6,0.58,51.77,1.42,1
HDFCBANK,2.05,-17.04,1.44,26.19,-0.98,1
ICICIBANK,-2.7,-6.03,1.24,67.75,1.8,1
SBIN,-0.33,-9.05,3.06,47.57,0.08,0
LT,-2.9,-15.57,1.68,34.52,0.36,0
ITC,4.46,-6.97,1.76,33.94,-0.25,1
AXISBANK,-0.76,-15.79,3.38,60.95,-0.06,0
BHARTIARTL,-0.14,1.47,2.52,65.86,3.04,1
RELIANCE,-2.88,-8.01,2.4,35.97,2.72,1
TCS,1.25,20.68,0.57,71.01,2.99,1
INFY,3.53,-0.85,3.09,29.39,1.7,1
HDFCBANK,-4.08,14.87,0.98,27.66,-3.14,0
ICICIBANK,0.66,24.31,1.76,51.17,3.14,1
SBIN,0.09,3.07,3.01,51.17,3.07,1
LT,-2.54,7.16,3.24,48.32,-1.88,0
ITC,-0.77,19.93,0.5,56.33,0.61,0
AXISBANK,-3.89,20.0,2.8,57.32,-1.86,0
BHARTIARTL,-0.47,-4.78,2.39,64.45,1.25,1
RELIANCE,-3.11,-12.08,3.3,59.83,-0.82,0
TCS,0.71,-7.45,2.46,32.86,-0.51,1
INFY,-3.63,23.72,3.33,44.99,2.86,1
HDFCBANK,1.67,22.78,2.7,41.6,0.36,1
ICICIBANK,-1.78,-11.62,1.86,63.04,1.07,1
SBIN,-3.6,-6.39,1.62,58.5,-2.92,0
LT,-4.12,-13.12,2.15,40.53,0.92,0
ITC,-3.17,18.64,3.46,65.82,-0.0,0
AXISBANK,2.97,-11.62,1.3,50.34,-1.88,1
BHARTIARTL,-2.89,-7.01,2.2,34.46,-0.35,0
RELIANCE,-1.38,0.27,1.44,36.04,1.76,1
TCS,2.55,-10.24,0.81,61.36,0.49,1
INFY,4.14,-9.76,0.77,75.52,0.89,0
HDFCBANK,-0.32,-18.22,0.51,35.27,-3.0,0
ICICIBANK,0.13,23.94,1.76,63.3,-0.76,1
SBIN,-2.15,-4.08,1.5,30.66,-0.17,0
LT,1.35,21.56,1.03,59.8,-2.1,1
ITC,2.11,-16.24,0.82,28.82,0.61,1
AXISBANK,0.99,-17.01,2.19,45.23,2.78,1
BHARTIARTL,0.85,-17.16,1.72,25.59,-2.51,1
RELIANCE,0.49,-12.51,3.05,35.43,-2.31,1
TCS,4.26,18.32,2.95,39.9,1.2,1
INFY,2.11,20.36,2.73,65.55,2.9,1
HDFCBANK,-3.1,19.91,1.91,49.67,-0.07,0
ICICIBANK,3.93,-14.09,0.68,25.97,-0.07,1
SBIN,-3.02,-9.13,0.51,60.63,1.89,1
LT,2.89,-12.01,2.46,48.59,-1.07,1
ITC,3.71,2.1,3.03,56.4,-3.08,1
AXISBANK,3.88,24.02,2.23,69.72,-1.33,1
BHARTIARTL,2.44,20.23,1.11,52.82,-2.79,1
RELIANCE,-4.07,9.84,3.23,51.26,-2.44,0
TCS,-3.82,17.79,2.92,38.1,2.0,1
INFY,-3.23,9.94,0.66,54.94,-0.14,0
HDFCBANK,1.22,-13.1,2.6,31.91,-2.9,1
ICICIBANK,-1.75,-0.59,0.78,36.1,-1.75,0
SBIN,4.19,12.49,1.59,53.62,-2.09,1
LT,-0.86,-12.8,1.09,42.01,0.79,0
ITC,-3.3,-10.72,1.57,39.82,2.88,1
AXISBANK,1.14,18.86,2.0,42.13,2.46,1
BHARTIARTL,-2.47,-3.46,2.46,53.31,-1.66,0
RELIANCE,0.3,22.95,2.59,57.62,-2.33,1
TCS,-1.34,-4.57,1.43,45.31,2.61,1
INFY,-2.34,10.55,3.29,50.41,-0.92,0
HDFCBANK,3.82,7.46,1.19,33.31,1.65,1
ICICIBANK,1.03,23.2,2.77,28.92,1.44,1
SBIN,0.06,20.15,3.12,76.29,0.4,0
LT,-0.88,-8.78,3.12,31.46,2.52,1
ITC,1.49,-1.51,1.19,30.27,1.04,1
AXISBANK,-0.69,-17.03,3.35,42.24,-2.76,0
BHARTIARTL,-3.47,-19.49,2.04,57.5,0.95,0
RELIANCE,2.6,6.31,3.03,64.81,0.79,1
